name,vallab,varlab
qa902,qa902,参军结束时间（年）
qc1,qc1,现在在上学吗
qc2,qc2,是否处在假期
school,school,上学状态
qc3,qc3,现在上哪个阶段
qc4,qc4,是全日制还是在职学生
qc5,qc5,正在上几年级
wr0s1,,就读学校名称确认
wr0s2,,就读学校确认
qr0,qr0,哪年起就读（年）
qr1,qr1,就近入学
qr2,qr2,如何入读该校
qr3,qr3,是否缴纳赞助费或借读费
qr4,qr4,择校/赞助费（元）
qr5,qr5,为入学变更居住地
qr6,qr6,如何变更居住地
qr7,qr7,为入学变更居户口地址
qs1002,qs1002,目前就读学校所在地
qs3,qs3,现在上的是哪类小学
qs4_b_1,qs4_b_1,现在上哪类初中
qs5,qs5,现上哪类高中
qs601,qs601,是否公立学校
qs602,qs602,是否示范/重点学校
qs603,qs603,是哪种类型的私立学校
qs604,qs604,是否在重点班
qs605,qs605,班级人数（人）
qs606,qs606,年级人数（人）
qs7,qs7,上哪类大专
qs8,qs8,现在上哪类本科
qs801_b_1,qs801_b_1,专业人数（人）
qs10,qs10,学校是否能够寄宿
qs1001,qs1001,学校是否能够寄宿
qs1003,qs1003,寄宿时每月回家次数(次)
qs11,,从住处到学校有多远(公里)
qs1102,qs1102,从住处到学校出行方式
qs1103,qs1103,住处到学校需几分钟(分钟)
kr425,kr425,最近一次期中、期末考试班级排名(%)
kr426,kr426,最近一次期中、期末考试年级排名(%)
kr4301,kr4301,是否曾请假
kr4302,kr4302,是否曾旷课
kr431,kr431,请假旷课的主因
kr432,kr432,一共请假和旷课几次(次)
kra605,kra605,上学期本专业排名(%)
qs1011,qs1011,非周末学习时间(小时/天)
qs1012,qs1012,周末学习时间(小时/天)
qs1_b_2,,是否担任学生干部
qs102b,qs102b,担任的最高职务级别
qs2,qs2,是否参加学生社团
qs201,qs201,参加了几个社团(个)
qs202,qs202,是否担任社团干部
qs3m,qs3m,与同学交谈的语言
qs4_b_2,qs4_b_2,学习好天赋占比(%)
qs501_b_2,qs501_b_2,自己的学业情况
qs502,qs502,学习压力
qs503,qs503,有多优秀
qs504,qs504,适合做学生干部
qs601n,qs601n,我学习很努力
qs602n,qs602n,会集中精力学习
qs603mn,qs603mn,会检查学校功课
qs604n,qs604n,遵守校规校纪
qs605n,qs605n,把物品摆放整齐
qs606mn,qs606mn,完成学校功课后才玩
qs701,,对学校满意程度
qs702,,对班主任老师满意程度
qs703,,对语文老师满意程度
qs704,,对数学老师满意程度
qs705,,对外语老师满意程度
qint001,qint001,生气
qext002,qext002,吵架
qint003,qint003,考试
qext004,qext004,注意力
qint005,qint005,寂寞
qext006,qext006,分心
qint007,qint007,悲伤
qext008,qext008,完成作业
qint009,qint009,表现
qint010,qint010,担心作业
qint011,qint011,玩伴
qext012,qext012,多嘴
qext013,qext013,打架
qint014,qint014,羞愧
pt1,pt1,是否参加辅导班
pt2,pt2,是否参加学校辅导
pt201,pt201,每周参加学校课程辅导时间（小时）
pt3,pt3,是否参加竞赛辅导
pt301,pt301,每周参加竞赛辅导时间（小时）
pt4,pt4,是否参加才艺培养
pt401,pt401,每周参加才艺培养辅导时间（小时）
pt5,pt5,是否参加心智开发
pt501,pt501,每周参加心智开发辅导时间（小时）
pt7,pt7,是否参加其他辅导班
pt701,pt701,每周参加其他辅导时间（小时）
pt8,pt8,是否请家教
pd503r,pd503r,过去12个月课外辅导费（元）
pd501a,pd501a,是否支付学杂费
pd502a,pd502a,是否支付伙食、住宿及校车费
pd503a,pd503a,是否支付书本及用具费
pd504a,pd504a,过去12个月是否有其他费用
pd501b,pd501b,过去12个月学校教育支出(元/年)
pd577rn,pd577rn,过去12个月其他费用(元/年)
pd5total,pd5total,教育支出总费用
pd5ckp,pd5ckp,教育总支出确认
pd5total_mn,pd5total_mn,教育总支出(元/年)
pd6,pd6,过去12个月亲戚朋友支付 （元）
wd7rn,wd7rn,政府、学校及其他组织机构支付
kwc1,kwc1,最高学历确认
edu_update,edu_update,EDU_UPDATE
kw01,kw01,最高学历
kw2y,kw2y,离开学校（年）
kw2m,kw2m,离开学校（月）
kw0,kw0,其他教育经历
kw1_s_1,kw1_s_1,上次调查至今或曾经经历过的教育阶段：选择1
kw1_s_2,kw1_s_2,上次调查至今或曾经经历过的教育阶段：选择2
kw1_s_3,kw1_s_3,上次调查至今或曾经经历过的教育阶段：选择3
kw1_s_4,kw1_s_4,上次调查至今或曾经经历过的教育阶段：选择4
kw1_s_5,kw1_s_5,上次调查至今或曾经经历过的教育阶段：选择5
kw1_s_6,kw1_s_6,上次调查至今或曾经经历过的教育阶段：选择6
wedu,wedu,教育阶段
kw301_b_1,kw301_b_1,上哪类小学
kw401_b_1,kw401_b_1,上哪类初中
kw501_b_1,kw501_b_1,上哪类高中
kw601_b_1,kw601_b_1,上哪类大专
kw701_b_1,kw701_b_1,上哪类本科
kw801_b_1,kw801_b_1,读硕士是脱产还是在职
kw801_b_2,kw801_b_2,读博士是脱产还是在职
kw1001_b_1,kw1001_b_1,哪年就读该小学
kw1001_b_2,kw1001_b_2,哪年起入读该初中
kw1001_b_3,kw1001_b_3,哪年起入读该高中
kw1001_b_4,kw1001_b_4,哪年起入读该大专
kw1001_b_5,kw1001_b_5,哪年起入读该本科
kw1001_b_6,kw1001_b_6,哪年起入读该校硕士
kw1001_b_7,kw1001_b_7,哪年起入读该校博士
kw1004_b_1,kw1004_b_1,是否小学毕业
kw1004_b_2,kw1004_b_2,是否初中毕业
kw1004_b_3,kw1004_b_3,是否高中毕业
kw1004_b_4,kw1004_b_4,是否大专毕业
kw1004_b_5,kw1004_b_5,是否本科毕业
kw1004_b_6,kw1004_b_6,是否硕士毕业
kw1004_b_7,kw1004_b_7,是否博士毕业
kwa1_b_1,kwa1_b_1,没毕业的主因
kw1005_b_1,kw1005_b_1,是否获得本科学位
kw1005_b_2,kw1005_b_2,是否获得硕士学位
kw1005_b_3,kw1005_b_3,是否获得博士学位
kwa2_b_1,kwa2_b_1,没升学的主因
qc201,qc201,您期望的受教育程度
qea0,qea0,当前婚姻状态
qea1,qea1,确认上一次访问时婚姻状态
marriage_last_update,marriage_last_update,2020婚姻状态更新
qea2,qea2,2020年婚姻状况
qea201y,qea201y,配偶/同伴出生日期(年)
qea201m,qea201m,配偶/同伴出生日期(月)
qea202,qea202,配偶/同伴学历状况
qea204,qea204,与配偶/同伴如何认识
qea205y,qea205y,结婚日期(年)
qea205m,qea205m,结婚日期(月)
qea206,qea206,婚前同居
qea207,qea207,婚前同居月数（月）
qea2071,qea2071,是否是初婚
qea208y,qea208y,离婚日期(年)
qea208m,qea208m,离婚日期(月)
qea209y,qea209y,配偶去世日期(年)
qea209m,qea209m,配偶去世日期(月)
qea211y,qea211y,同居开始日期(年)
qea211m,qea211m,同居开始日期(月)
qea2111,qea2111,是否结过婚
qk9,qk9,有恋爱关系吗
qka201,qka201,理想结婚年龄（岁）
qd4,qd4,配偶教育程度
qka202,qka202,期望孩子数（个）
qka203,qka203,希望要几个男孩
qka205,qka205,未来两年生育意愿
qm9,qm9,嫁妆价值（元）
qm801,qm801,您对您当前的婚姻/同居生活有多满意
qm802,qm802,您对对方在经济上为家庭做出的贡献有多满意
qm803,qm803,您对对方在家务上为家庭做出的贡献有多满意
marriagen,marriagen,生成婚姻段数变量
cohabitn,cohabitn,生成同居段数变量
cmstart,cmstart,2020年1月1日至今新开始且持续到当前的婚姻
firstenterehcy,firstenterehcy,首次进入EHC年份
firstenterehcm,firstenterehcm,首次进入EHC月份
qga101,qga101,实习兼职经历
qga2,qga2,过去12个月实习/兼职税后报酬
qga301,qga301,实习时长（月）
qga302,qga302,实习每周工作时间(小时/周)
qga1,qga1,全职工作经历
qgb1,qgb1,过去一周工作状态
qgb2,qgb2,放假或培训
qgb201,qgb201,返回工作岗位
qgb3,qgb3,生意淡季
qgb4,qgb4,从事农业工作
qgb5,qgb5,是否找工作
qgb501,qgb501,两周内开始工作
qgb6,qgb6,没有工作原因
employ,employ,当前工作状态
lastyjob_last,lastyjob_last,CFPS2020主要工作是否延续到最近一年
lastyjob_cur,lastyjob_cur,CFPS2020之后产生的最近一份工作是否延续到最近一年
jobstartn,jobstartn,EHC回忆时段内开始新工作份数
jobclass_base_2020,jobclass_base_2020,2020主要工作（若不再是2022主要工作，则变成2022一般工作）的工作类型（base）
jobclass_2020,jobclass_2020,2020主要工作（若不再是2022主要工作，则变成2022一般工作）的工作类型
mincomea_b_1,mincomea_b_1,2020主要工作（若不再是2022主要工作，则变成2022一般工作）的税后月收入
yincomea_b_1,yincomea_b_1,2020主要工作（若不再是2022主要工作，则变成2022一般工作）的税后年收入
mincomea_a_1,mincomea_a_1,一般工作1的税后月收入
yincomea_a_1,yincomea_a_1,一般工作1的税后年收入
jobclass_base_a_1,jobclass_base_a_1,一般工作1的类型（base）
jobclass_a_1,jobclass_a_1,一般工作1的工作类型
lastyjob_comm_a_1,lastyjob_comm_a_1,一般工作1是否延续到最近一年
mincomea_a_2,mincomea_a_2,一般工作2的税后月收入
yincomea_a_2,yincomea_a_2,一般工作2的税后年收入
jobclass_base_a_2,jobclass_base_a_2,一般工作2的类型（base）
jobclass_a_2,jobclass_a_2,一般工作2的工作类型
lastyjob_comm_a_2,lastyjob_comm_a_2,一般工作2是否延续到最近一年
mincomea_a_3,mincomea_a_3,一般工作3的税后月收入
yincomea_a_3,yincomea_a_3,一般工作3的税后年收入
jobclass_base_a_3,jobclass_base_a_3,一般工作3的类型（base）
jobclass_a_3,jobclass_a_3,一般工作3的工作类型
lastyjob_comm_a_3,lastyjob_comm_a_3,一般工作3是否延续到最近一年
mincomea_a_4,mincomea_a_4,一般工作4的税后月收入
yincomea_a_4,yincomea_a_4,一般工作4的税后年收入
jobclass_base_a_4,jobclass_base_a_4,一般工作4的类型（base）
jobclass_a_4,jobclass_a_4,一般工作4的工作类型
lastyjob_comm_a_4,lastyjob_comm_a_4,一般工作4是否延续到最近一年
mincomea_a_5,mincomea_a_5,一般工作5的税后月收入
yincomea_a_5,yincomea_a_5,一般工作5的税后年收入
jobclass_base_a_5,jobclass_base_a_5,一般工作5的类型（base）
jobclass_a_5,jobclass_a_5,一般工作5的工作类型
lastyjob_comm_a_5,lastyjob_comm_a_5,一般工作5是否延续到最近一年
mincomea_a_6,mincomea_a_6,一般工作6的税后月收入
yincomea_a_6,yincomea_a_6,一般工作6的税后年收入
jobclass_base_a_6,jobclass_base_a_6,一般工作6的类型（base）
jobclass_a_6,jobclass_a_6,一般工作6的工作类型
lastyjob_comm_a_6,lastyjob_comm_a_6,一般工作6是否延续到最近一年
qgd01,qgd01,全职工作经历
qgd0,qgd0,这是您人生的第一份工作吗
kgd1a,kgd1a,第一份工作是否受雇
kgd2a_s_1,kgd2a_s_1,所有求职渠道：选择1
kgd2a_s_2,kgd2a_s_2,所有求职渠道：选择2
kgd2a_s_3,kgd2a_s_3,所有求职渠道：选择3
kgd2a_a_1,kgd2a_a_1,求职渠道：是否自己直接与用人单位联系
kgd2a_a_2,kgd2a_a_2,求职渠道：是否职业介绍机构、招聘广告、自己登求职广告，或参加人才交流会/招聘会
kgd2a_a_3,kgd2a_a_3,求职渠道：是否国家分配/组织调动
kgd2a_a_4,kgd2a_a_4,求职渠道：是否亲属、朋友或熟人介绍
kgd2a_a_5,kgd2a_a_5,求职渠道：是否学校就业指导机构，或学校推荐
kgd2a_a_77,kgd2a_a_77,求职渠道：是否选择其他
kgd101,kgd101,获得工作主要渠道
kgd2,kgd2,胜任工作的教育程度
qg1,qg1,当前最主要工作/最近结束的工作的工作所有者
qg101,qg101,当前最主要工作/最近结束的工作的工作性质
jobclass_base,jobclass_base,当前最主要工作/最近结束的工作类型（base）
jobclass,jobclass,当前最主要工作/最近结束的工作类型
qg2,qg2,雇主性质
qg201,qg201,雇主是个体工商户
qg2032,qg2032,是否有编制
qg301,qg301,工作地点
qg3011,qg3011,上下班单程时间(分钟)
qg401,qg401,工作收入满意度
qg402,qg402,工作安全满意度
qg403,qg403,工作环境满意度
qg404,qg404,工作时间满意度
qg405,qg405,工作晋升满意度
qg406,qg406,工作满意度
qg5,qg5,是否签订合同
qg501,qg501,是否约定合同期限
qg502,qg502,与谁签合同
qg6,qg6,每周工作时间(小时/周)
qg601,,上夜班频率
qg602,,周末上班频率
qg603,qg603,是否随时到岗
qg604,,上下班时间弹性
qg7_s_1,qg7_s_1,现金福利：选择1
qg7_s_2,qg7_s_2,现金福利：选择2
qg7_s_3,qg7_s_3,现金福利：选择3
qg7_s_4,qg7_s_4,现金福利：选择4
qg7_s_5,qg7_s_5,现金福利：选择5
qg7_a_1,qg7_a_1,现金福利：是否提供交通费补贴
qg7_a_2,qg7_a_2,现金福利：是否提供餐费补贴
qg7_a_3,qg7_a_3,现金福利：是否提供住房补贴
qg7_a_4,qg7_a_4,现金福利：是否提供过节费
qg7_a_77,qg7_a_77,现金福利：是否提供其他
qg7_a_78,qg7_a_78,现金福利：是否以上都没有
qg701_a_1,qg701_a_1,每月福利金额（元）-交通费补贴
qg701_a_2,qg701_a_2,每月福利金额（元）-餐费补贴
qg701_a_3,qg701_a_3,每月福利金额（元）-住房补贴
qg701_a_5,qg701_a_5,每月福利金额（元）-其他
qg702,qg702,12个月福利金额(元/年)
qg8_s_1,qg8_s_1,实物福利：选择1
qg8_s_2,qg8_s_2,实物福利：选择2
qg8_s_3,qg8_s_3,实物福利：选择3
qg8_s_4,qg8_s_4,实物福利：选择4
qg8_s_5,,实物福利：选择5
qg8_a_1,qg8_a_1,实物福利：是否提供免费早/中/晚餐
qg8_a_2,qg8_a_2,实物福利：是否提供免费住宿
qg8_a_3,qg8_a_3,实物福利：是否提供单位配车/班
qg8_a_4,qg8_a_4,实物福利：是否提供购物卡/购物券
qg8_a_77,qg8_a_77,实物福利：是否提供其他
qg8_a_78,qg8_a_78,实物福利：是否以上都没有
qg801_a_1,qg801_a_1,每月实物福利（元）-免费早/中/晚餐
qg801_a_2,qg801_a_2,每月福利金额（元）-免费住宿
qg801_a_3,qg801_a_3,每月福利金额（元）-单位配车/班车
qg801_a_4,qg801_a_4,每月福利金额（元）-购物卡/购物券
qg801_a_5,qg801_a_5,每月福利金额（元）-其他
qg9_s_1,qg9_s_1,工作保障：选择1
qg9_s_2,qg9_s_2,工作保障：选择2
qg9_s_3,qg9_s_3,工作保障：选择3
qg9_s_4,qg9_s_4,工作保障：选择4
qg9_s_5,qg9_s_5,工作保障：选择5
qg9_a_1,qg9_a_1,工作保障：是否提供养老保险
qg9_a_2,qg9_a_2,工作保障：是否提供医疗保险
qg9_a_3,qg9_a_3,工作保障：是否提供失业保险
qg9_a_4,qg9_a_4,工作保障：是否提供工伤保险
qg9_a_5,qg9_a_5,工作保障：是否提供生育保险
qg9_a_78,qg9_a_78,工作保障：是否以上都没有
qg901,qg901,每月个人缴费额(元)
qg10,qg10,是否提供住房公积金
qg1001,qg1001,公积金缴纳数额(元/月)
qg11,qg11,每月税后工资(元/月)
qg1101,qg1101,税后年终奖(元/年)
qg1102,qg1102,税后奖金(元/月)
qg12,qg12,工作总收入(元/年)
qg1201_min,qg1201_min,工作总收入区间最低值
qg1201_max,qg1201_max,工作总收入区间最高值
qg1201_est,qg1201_est,工作总收入-估计值
incomea,incomea,过去12个月所有一般工作的税后工资性收入
incomeb,incomeb,过去12个月主要工作税后工资性收入
emp_income,emp_income,过去12个月所有工作（主要工作+一般工作）的税后工资性收入
kg13a_s_1,kg13a_s_1,所有求职渠道：选择1
kg13a_s_2,kg13a_s_2,所有求职渠道：选择2
kg13a_s_3,kg13a_s_3,所有求职渠道：选择3
kg13a_s_4,kg13a_s_4,所有求职渠道：选择4
kg13a_s_5,,所有求职渠道：选择5
kg13a_a_1,kg13a_a_1,求职渠道：是否自己直接与用人单位联系
kg13a_a_2,kg13a_a_2,求职渠道：是否职业介绍机构、招聘广告、自己登求职广告，或参加人才交流会/招聘会
kg13a_a_3,kg13a_a_3,求职渠道：是否国家分配/组织调动
kg13a_a_4,kg13a_a_4,求职渠道：是否亲属、朋友或熟人介绍
kg13a_a_5,kg13a_a_5,求职渠道：是否学校就业指导机构，或学校推荐
kg13a_a_77,kg13a_a_77,求职渠道：是否选择其他
kg1301,kg1301,获得工作主要渠道
kg1302,kg1302,胜任工作的教育程度
qg1303,qg1303,是否获得他人帮助
qg1304,qg1304,帮助大小
qg1305,qg1305,与帮助者关系
qg14,qg14,行政管理职务
qg15,qg15,工作晋级
qg1501,qg1501,希望晋级内容
qg16,qg16,工作单位规模(人)
qg17,qg17,有直接下属
qg1701,qg1701,管理人员规模(人)
qg18,qg18,使用外语
qg19,qg19,使用计算机
qg20,,工作场所
qg22,qg22,生意的主要资金来源
qg1202,qg1202,工作总收入校验
qg1203,qg1203,非经营税后总收入(元/年)
qg1204_min,qg1204_min,非经营税后总收入区间最低值（工作总收入校验值）
qg1204_max,qg1204_max,非经营税后总收入区间最高值（工作总收入校验值）
qg1204_est,qg1204_est,非经营税后总收入区间最低值（工作总收入校验值）-估计值
kg23,kg23,离职原因
qi101,qi101,是否办理退休手续
qi1011,qi1011,是否办理养老金领取手续
qi102y,qi102y,办理手续年份（年）
qi102m,qi102m,办理手续月份（月）
qi200,qi200,是否有领取离退休金
qi2001,qi2001,是否有领取养老保险
qi202,qi202,税后领退休金数额(元/月)
qi203_max,qi203_max,税后领退休金区间上限
qi203_min,qi203_min,税后领退休金区间下限
qi203_est,qi203_est,税后领退休金-估计值
qi301_s_1,qi301_s_1,参保项目：选择1
qi301_s_2,qi301_s_2,参保项目：选择2
qi301_s_3,qi301_s_3,参保项目：选择3
qi301_s_4,qi301_s_4,参保项目：选择4
qi301_s_5,qi301_s_5,参保项目：选择5
qi301_s_6,qi301_s_6,参保项目：选择6
qi301_s_7,qi301_s_7,参保项目：选择7
qi301_a_1,qi301_a_1,参保项目：是否离退休后从所在机关或事业单位领取离退休金
qi301_a_2,qi301_a_2,参保项目：是否参保基本养老保险
qi301_a_3,qi301_a_3,参保项目：是否参保企业补充养老保险
qi301_a_4,qi301_a_4,参保项目：是否参保商业养老保险
qi301_a_5,qi301_a_5,参保项目：是否参保农村养老保险（老农保）
qi301_a_6,qi301_a_6,参保项目：是否参保新型农村社会养老保险（新农保）
qi301_a_7,qi301_a_7,参保项目：是否参保城镇居民养老保险
qi301_a_77,qi301_a_77,参保项目：是否参保其他
qi301_a_78,qi301_a_78,参保项目：是否以上都没有
xchildpid_a_1,xchildpid_a_1,受访者子女1（F模块）
xchildpid_a_2,xchildpid_a_2,受访者子女2（F模块）
xchildpid_a_3,xchildpid_a_3,受访者子女3（F模块）
xchildpid_a_4,xchildpid_a_4,受访者子女4（F模块）
xchildpid_a_5,xchildpid_a_5,受访者子女5（F模块）
xchildpid_a_6,xchildpid_a_6,受访者子女6（F模块）
xchildpid_a_7,xchildpid_a_7,受访者子女7（F模块）
xchildpid_a_8,xchildpid_a_8,受访者子女8（F模块）
qk5,qk5,向谁诉说烦恼
qk6,qk6,你和谁在一起
qk7m,qk7m,你有零花钱吗
qk701m,qk701m,每月零花钱数（元/月）
qk702,qk702,零花钱最主要的来源
qk703,qk703,自觉零花钱合适数(元/月)
wl6,wl6,是否乘坐过火车
wl7,wl7,是否乘坐过飞机
qu201,qu201,是否移动上网
qu202,qu202,是否电脑上网
qu201a,qu201a,移动设备上网时长（分钟）
qu202a,qu202a,电脑上网时长（分钟）
qu91,qu91,是否玩网络游戏
qu911,qu911,是否每天玩网络游戏
qu92,qu92,是否网上购物
qu921,qu921,是否每天网上购物
qu93,qu93,是否看短视频
qu931,qu931,是否每天看短视频
qu94,qu94,是否网络学习
qu941,qu941,是否每天网络学习
qu5,qu5,是否在网上学习
qu501,qu501,网上学习时间（分钟）
qu11,qu11,是否使用微信
qu111,qu111,朋友圈分享频率
qu951,qu951,网络对工作重要性
qu952,qu952,网络对休闲娱乐重要性
qu953,qu953,网络对与家人和朋友保持联系重要性
qu954,qu954,网络对学习重要性
qu955,qu955,网络对日常生活重要性
qm2011,qm2011,人缘关系有多好(分)
qm2016,qm2016,有多幸福(分)
qm3n,qm3n,生活有意义（分）
qm6,qm6,大部分人乐于助人还是自私
qn1001,qn1001,喜欢信任还是怀疑别人
qn10021,qn10021,对父母的信任度
qn10022,qn10022,对邻居的信任度
qn10023,qn10023,对美国人的信任度
qn10024,qn10024,对陌生人的信任度
qn10025,qn10025,对本地政府官员的信任度
qn10026,qn10026,对医生的信任度
qm1001,qm1001,子女善待父母
qm1002,qm1002,子女达成父母心愿
qm1003,qm1003,儿子和父母住在一起
qm1004,qm1004,至少生一个儿子
qm1005,qm1005,光宗耀祖
qm1006,qm1006,回家探望父母
wv102,wv102,公平竞争才有和谐人际
wv103,wv103,财富反映个人成就
wv104,wv104,努力工作能有回报
wv105,wv105,聪明才干能得回报
wv106,wv106,成大事难免腐败
wv107,wv107,有关系比有能力重要
wv108,wv108,提高生活水平机会很大
wv101,wv101,经济繁荣要拉大收入差距
qm501a,qm501a,男女社会压力比较
qn12012,qn12012,对自己生活满意度
qn12016,qn12016,对自己未来信心程度
qn8011,,您的收入在本地
qn8012,qn8012,您的地位
qms1,qms1,固定型思维1
qms2,qms2,固定型思维2
qms3,qms3,发展型思维1
qms4,qms4,发展型思维2
qm20,,领袖气质
qme201,qme201,为了年老时有人帮助
qme202,qme202,为了延续家族香火
qme203,qme203,为从经济上帮助家庭
qme204,qme204,为看孩子长大的喜悦
qme205,qme205,为子女在身边的快乐
qme206,qme206,为感受有宝宝的喜悦
qme207,qme207,为使家庭更重要
qme208,qme208,为增强责任心
qme209,qme209,为增加亲属联系
qn4001,qn4001,是否是党员
qn402,qn402,入党时间（年）
qn4002,qn4002,是否是团员
qn4004,qn4004,是否是宗教信仰团体成员
qn4003,qn4003,是否是工会成员
qn4005,qn4005,是否是个体劳动者协会成员
qn1101,qn1101,对本县市政府评价
qn6012,qn6012,环境保护
qn6013,qn6013,贫富差距
qn6014,qn6014,就业问题
qn6015,qn6015,教育问题
qn6016,qn6016,医疗问题
qn6017,qn6017,住房问题
qn6018,qn6018,社会保障
qn6011,qn6011,政府腐败
qn6019,qn6019,养老
qn6020,qn6020,托幼
qn7,qn7,村/居委会选举投票
qd5,qd5,购买福利住房
qd501,qd501,购买福利房年份
qp101,qp101,当前身高（厘米）
qp102,qp102,当前体重（斤）
qa101,qa101,出生时的体重(斤)
qp103,qp103,习惯用手
qp201,qp201,健康状况
qp202,qp202,健康变化情况
qp301,qp301,过去两周身体是否不适
qp303,qp303,您觉得病伤程度
qp304,qp304,看过医生吗
qp401,qp401,半年内是否有慢性疾病
qc401,qc401,过去12个月是否因病住院
qc7a,qc7a,住院总费用（元）
qc7b,qc7b,其他伤病花费（元）
metotal,metotal,医疗总花费
qc701,qc701,医疗费用自付花费（元）
qq701a,qq701a,近一年您生病时谁照顾
qp601,qp601,一般去哪里看病
qp602,qp602,对看病点条件满意度
qp603,qp603,看病点医疗水平
qp605_s_1,qp605_s_1,医疗保险类型：选择1
qp605_s_2,qp605_s_2,医疗保险类型：选择2
qp605_s_3,qp605_s_3,医疗保险类型：选择3
qp605_s_4,qp605_s_4,医疗保险类型：选择4
qp605_s_5,qp605_s_5,医疗保险类型：选择5
qp605_a_1,qp605_a_1,享有哪些医疗保险：公费医疗
qp605_a_2,qp605_a_2,享有哪些医疗保险：城镇职工医疗保险
qp605_a_3,qp605_a_3,享有哪些医疗保险：城镇居民医疗保险（含一老一小保险）
qp605_a_4,qp605_a_4,享有哪些医疗保险：补充医疗保险
qp605_a_5,qp605_a_5,享有哪些医疗保险：新型农村合作医疗
qp605_a_6,qp605_a_6,享有哪些医疗保险：城乡居民基本医疗保险
qp605_a_78,qp605_a_78,享有哪些医疗保险：以上都没有
qp701n,qp701n,锻炼身体的频率（次）
qp702n,qp702n,锻炼时长（分钟）
qp801n,qp801n,蛋白质摄入
qp802n,qp802n,蔬果摄入
qq201,qq201,过去一月您吸烟吗
